,Geo Point,Geo Shape,dlibre,dgenerica_,despecific,regimen,direccion,codpos,telef,fax,mail,distrito,Tipo
289,"39.463076999074026, -0.3689970000000003","{""coordinates"": [-0.368997, 39.463076999074026], ""type"": ""Point""}",CENTRE PRIV. ED. INFANTIL PETER PAN,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,PETER PAN,PRIVADO,"CL. DOCTOR SUMSI, 16",46005,963335909,0,info@escuelapeterpan.com,L'Eixample,D'EDUCACIÓ INFANTIL
290,"39.466386999074, -0.34096599999999994","{""coordinates"": [-0.340966, 39.466386999074], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE DU-DU-A,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,DU-DU-A,PRIVADO,"CL. MAESTRO VALLS, 36-38",46022,963555060,963220244,ceidudua@gmail.com,Camins al Grau,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
291,"39.462985999074014, -0.38227400000000006","{""coordinates"": [-0.382274, 39.462985999074014], ""type"": ""Point""}",CENTRE PRIVAT FP INUPEL II,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,INUPEL II,PRIVADO,"CL. SAN VICENTE, 144",46007,963429092,963418559,info@inupel.com,Extramurs,FORMACIÓ PROFESSIONAL ESPECÍFICA
292,"39.474911999073946, -0.33617699999999967","{""coordinates"": [-0.336177, 39.474911999073946], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE BETERÓ,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,BETERÓ,PRIVADO,"CL. CAMPILLO DEL ALTOBUEY, 14",46022,963563423,0,ceibetero@passetapasset.org,Camins al Grau,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
293,"39.470733999073964, -0.3451629999999999","{""coordinates"": [-0.345163, 39.470733999073964], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE EL EDEN,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,EL EDEN,PRIVADO,"CL. JOSÉ DE ORGA, 12-14",46022,963727917,0,edencentroinfantil@gmail.com,Camins al Grau,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
294,"39.43399699907421, -0.39206399999999964","{""coordinates"": [-0.392064, 39.43399699907421], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE SAMBORI-LATORRE,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,SAMBORI-LATORRE,PRIVADO,"CL. ALVAREZ DE SOTOMAYOR, 27-B",46017,963964781,0,samborivalencia@yahoo.es,Jesus,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
295,"39.46417799907401, -0.37332100000000146","{""coordinates"": [-0.373321, 39.46417799907401], ""type"": ""Point""}",CENTRE PRIVAT FP COLEGIO RUZAFA,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,COLEGIO RUZAFA,PRIVADO,"CL. RUZAFA, 40",46006,963748552,963331922,informacion@colegioruzafa.com,L'Eixample,FORMACIÓ PROFESSIONAL ESPECÍFICA
296,"39.49479299907382, -0.3600380000000005","{""coordinates"": [-0.360038, 39.49479299907382], ""type"": ""Point""}",IES RASCANYA-ANTONIO CAÑUELO,INSTITUT D'EDUCACIÓ SECUNDÀRIA,RASCANYA-ANTONIO CAÑUELO,PÚBLICO,"AV. HERMANOS MACHADO, 9",46019,961206315,961206316,46025507@edu.gva.es,Rascanya,D'EDUCACIÓ SECUNDÀRIA
297,"39.46349899907401, -0.33767899999999973","{""coordinates"": [-0.337679, 39.46349899907401], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE JARDÍN DE SERRERIA,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,JARDÍN DE SERRERIA,PRIVADO,"CL. PEANYA, 19",46022,963300665,963312383,serreria@colegios-sigloxxi.com,Camins al Grau,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
298,"39.47100899907395, -0.3837110000000003","{""coordinates"": [-0.383711, 39.47100899907395], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE BAMBINI,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,BAMBINI,PRIVADO,"CL. GUILLEM DE CASTRO, 67",46008,963912806,0,bambini1@ceibambini.com,Extramurs,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
299,"39.46219899907402, -0.3830619999999998","{""coordinates"": [-0.383062, 39.46219899907402], ""type"": ""Point""}",CENTRE PRIVAT FP TAES,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,TAES,PRIVADO,"PJ. VENTURA FELIU, 10-12",46007,963413537,0,taes@taesformacion.es,Extramurs,FORMACIÓ PROFESSIONAL ESPECÍFICA
301,"39.461709999074024, -0.3515620000000003","{""coordinates"": [-0.351562, 39.461709999074024], ""type"": ""Point""}",CEIP TOMÁS DE MONTAÑANA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,TOMÁS DE MONTAÑANA,PÚBLICO,"AV. BALEARES, 40",46023,962566780,962566781,46026421@edu.gva.es,Camins al Grau,D'EDUCACIÓ INFANTIL I PRIMÀRIA
302,"39.49245899907382, -0.36804199999999954","{""coordinates"": [-0.368042, 39.49245899907382], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE MARNI II,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,MARNI II,PRIVADO,"CL. DUQUE DE MANDAS, S/N",46019,963650832,963650162,secretaria@marni.es,Rascanya,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
303,"39.45435399907409, -0.39011099999999993","{""coordinates"": [-0.390111, 39.45435399907409], ""type"": ""Point""}",CENTRE PRIVAT FP IVAFE,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,IVAFE,PRIVADO,"CL. SANTANDER, 16-18",46017,961937294,963786599,ivafe@ivafe.org,Jesus,FORMACIÓ PROFESSIONAL ESPECÍFICA
304,"39.4532399990741, -0.3902940000000007","{""coordinates"": [-0.390294, 39.4532399990741], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE VIRGEN DE CORTES 2,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,VIRGEN DE CORTES 2,PRIVADO,"CL. JERÓNIMA GALÉS, 27",46017,963785644,963813644,virgendecortes@gmail.com,Jesus,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
305,"39.45789899907406, -0.37183000000000044","{""coordinates"": [-0.37183, 39.45789899907406], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE SACAPUNTAS S/CORT. NI PUNTAS,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,SACAPUNTAS SIN CORTES NI PUNTAS,PRIVADO,"CL. CARRERA FUENTE DE SAN LUIS, 11",46006,963292020,0,direccion@eisacapuntas.es,L'Eixample,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
306,"39.465797999074, -0.39760399999999957","{""coordinates"": [-0.397604, 39.465797999074], ""type"": ""Point""}",E. PRIV. DE MÚSICA SOCIETAT MUSICAL LA UNIÓ DE TRES FORQUES,ESCOLA PRIVADA DE MÚSICA,SOCIETAT MUSICAL LA UNIÓ DE TRES FORQUES,PRIVADO,"CL. VIRGINIA WOOLF, 2",46018,963235483,0,escuela@smtresforques.com,Patraix,MÚSICA
307,"39.48421599907389, -0.3564010000000007","{""coordinates"": [-0.356401, 39.48421599907389], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE PEQUES-ÑAJOS,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,PEQUES-ÑAJOS,PRIVADO,"CL. PARE ALEGRE, 5",46020,963602520,0,eipeques@yahoo.es,Benimaclet,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
308,"39.49494899907382, -0.3668509999999995","{""coordinates"": [-0.366851, 39.49494899907382], ""type"": ""Point""}",CENTRE PRIVAT FP XABEC,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,XABEC,CONCERTADO,"CL. ESTEBAN DOLZ DEL CASTELLAR, 3",46019,963389882,963389881,info@xabec.es,Rascanya,FORMACIÓ PROFESSIONAL ESPECÍFICA
309,"39.48511399907389, -0.3581179999999989","{""coordinates"": [-0.358118, 39.48511399907389], ""type"": ""Point""}",CENTRE ENS. PROFESSIONALS DE MÚSICA TALLER DE MÚSICA JOVE,CENTRE AUTORITZAT D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS DE MÚSICA,TALLER DE MÚSICA JOVE,PRIVADO,"CL. MISTRAL, 22",46020,963616361,0,centroprofesional@musicajove.net,Benimaclet,MÚSICA
310,"39.45412899907407, -0.36386000000000196","{""coordinates"": [-0.36386, 39.45412899907407], ""type"": ""Point""}",ESCOLA OFICIAL D'IDIOMES VALÈNCIA-QUATRE CARRERES,ESCOLA OFICIAL D'IDIOMES,VALÈNCIA-QUATRE CARRERES,PÚBLICO,"AV. HERMANOS MARISTAS, 25",46013,962542307,0,46027127@edu.gva.es,Quatre Carreres,ESCOLA OFICIAL D'IDIOMES
311,"39.44083299907415, -0.40812499999999996","{""coordinates"": [-0.408125, 39.44083299907415], ""type"": ""Point""}",CENTRE PRIVAT FP CFFOLGADO,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,CFFOLGADO,CONCERTADO,"CR. LA PERRINA, 20",46017,963976605,0,gestion@cffolgado.com,Jesus,FORMACIÓ PROFESSIONAL ESPECÍFICA
312,"39.495287999073824, -0.3833360000000001","{""coordinates"": [-0.383336, 39.495287999073824], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE PEÚCOS,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,PEÚCOS,PRIVADO,"CL. RÍO NERVIÓN, 25-27",46025,607385777,0,info@ceipeucos.com,Benicalap,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
313,"39.47491599907394, -0.329209000000001","{""coordinates"": [-0.329209, 39.47491599907394], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE PITUFOS,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,PITUFOS,PRIVADO,"CL. JOSÉ BENLLIURE, 351",46011,963711946,0,ceipitufoscabanyal@gmail.com,Poblados Marítimos,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
314,"39.46608099907399, -0.3550630000000003","{""coordinates"": [-0.355063, 39.46608099907399], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE BALEARS II,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,BALEARS II,PRIVADO,"CL. ISLAS CANARIAS, 44",46023,963375125,0,baleares@centrosinfantiles.com,Camins al Grau,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
315,"39.47157099907397, -0.38972900000000027","{""coordinates"": [-0.389729, 39.47157099907397], ""type"": ""Point""}",CENTRE PRIVAT FP TEVIÁN CEP,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,TEVIÁN CEP,PRIVADO,"CL. JUAN LLORENS, 39",46008,963520425,963521588,formacion@tevian.com,Extramurs,FORMACIÓ PROFESSIONAL ESPECÍFICA
317,"39.45327299907409, -0.3800350000000006","{""coordinates"": [-0.380035, 39.45327299907409], ""type"": ""Point""}",ESCOLA PRIVADA DE MÚSICA SOCIETAT MUSICAL BARRI MALILLA,ESCOLA PRIVADA DE MÚSICA,SOCIETAT MUSICAL BARRI MALILLA,PRIVADO,"CL. DRETS HUMANS, 9",46006,961207350,0,smbmalilla@gmail.com,L'Eixample,MÚSICA
318,"39.47986099907392, -0.3969210000000001","{""coordinates"": [-0.396921, 39.47986099907392], ""type"": ""Point""}",CENTRE PRIV. ED. INFANTIL EL VALLE 1,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,EL VALLE 1,PRIVADO,"CL. GRABADOR ENGUÍDANOS, 60",46015,963499581,0,sean@escuelainfantilelvalle.com,Benicalap,D'EDUCACIÓ INFANTIL
319,"39.454709999074076, -0.4050669999999995","{""coordinates"": [-0.405067, 39.454709999074076], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE FANTASÍA,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,FANTASÍA,PRIVADO,"CL. JOSEP ANDREU ALABARTA, 5",46014,963206892,963206892,escolafantasia@gmail.com,Olivereta,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
320,"39.463345999074015, -0.39177700000000065","{""coordinates"": [-0.391777, 39.463345999074015], ""type"": ""Point""}",CENTRE PRIV. ED. INFANTIL RISITAS,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,RISITAS,PRIVADO,"CL. CORAZÓN DE JESÚS, 3",46018,963770599,963770599,risitas@escuelainfantilrisitas.com,Patraix,D'EDUCACIÓ INFANTIL
322,"39.45227499907409, -0.4035650000000007","{""coordinates"": [-0.403565, 39.45227499907409], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE MONTESSORI-SAN ISIDRO,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,MONTESSORI-SAN ISIDRO,PRIVADO,"CL. JOSEP ANDREU ALABARTA, 39",46014,961334480,0,direccion@ceisanisidro.es,Olivereta,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
323,"39.467076999073996, -0.3546940000000004","{""coordinates"": [-0.354694, 39.467076999073996], ""type"": ""Point""}",ESCOLA PRIVADA DE MÚSICA MARÍA RAFOLS,ESCOLA PRIVADA DE MÚSICA,MARÍA RAFOLS,PRIVADO,"AV. DEL PUERTO, 51",46021,963690674,0,josemaltes@pcsantaana.com,Pla del Real,MÚSICA
324,"39.49593399907381, -0.4067930000000003","{""coordinates"": [-0.406793, 39.49593399907381], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE TXANOGORRITXU,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,TXANOGORRITXU,PRIVADO,"CM. VIEJO DE LIRIA, 87",46015,963450915,0,valencia@guarderiatxanogorritxu.com,Benicalap,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
325,"39.46664699907399, -0.3715479999999998","{""coordinates"": [-0.371548, 39.46664699907399], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE PASITO A PASITO,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,PASITO A PASITO,PRIVADO,"CL. PIZARRO, 25",46004,630876944,0,ei.pasitoapasito@hotmail.es,L'Eixample,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
326,"39.45565999907408, -0.3422689999999991","{""coordinates"": [-0.342269, 39.45565999907408], ""type"": ""Point""}",CEIP L'ALBEREDA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,L'ALBEREDA,PÚBLICO,"CL. LUIS GARCÍA-BERLANGA MARTÍ, 27",46023,962566220,962566221,46031349@edu.gva.es,Camins al Grau,D'EDUCACIÓ INFANTIL I PRIMÀRIA
327,"39.46985199907398, -0.39041700000000046","{""coordinates"": [-0.390417, 39.46985199907398], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE LITTLE FRIENDS,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,LITTLE FRIENDS,PRIVADO,"CL. MARTÍN EL HUMANO, 26",46008,963215650,963715878,direccionlittlefriends@gmail.com,Extramurs,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
329,"39.474249999073955, -0.35280200000000084","{""coordinates"": [-0.352802, 39.474249999073955], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE BABY'S BRAIN,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,BABY'S BRAIN,PRIVADO,"AV. CARDENAL BENLLOCH, 106/8",46021,621251419,0,mestalla@chiquitin.es,Pla del Real,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
330,"39.463947999074016, -0.33389699999999983","{""coordinates"": [-0.333897, 39.463947999074016], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE SAINT TIMOTHY,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,SAINT TIMOTHY,PRIVADO,"CL. MARIANO CUBER, 22",46011,963811770,0,nene@stimothy.com,Poblados Marítimos,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
331,"39.468070999073994, -0.3485579999999999","{""coordinates"": [-0.348558, 39.468070999073994], ""type"": ""Point""}",CENTRE PRIVAT FP NÀUTICA I SUBAQUÀTICA,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,NÀUTICA I SUBAQUÀTICA,PRIVADO,"CL. PEPE ALBA, 3",46022,963305935,963305935,politsub@politsub.org,Camins al Grau,FORMACIÓ PROFESSIONAL ESPECÍFICA
332,"39.49095999907385, -0.3794570000000007","{""coordinates"": [-0.379457, 39.49095999907385], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE PIPO 2,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,PIPO 2,PRIVADO,"AV. DOCTOR PESSET ALEIXANDRE, 60",46025,961933855,963651687,info@escuelainfantilpipo.es,Benicalap,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
333,"39.46168699907402, -0.36822899999999975","{""coordinates"": [-0.368229, 39.46168699907402], ""type"": ""Point""}",CENTRE PRIV. ED. INFANTIL GUPPYDOS,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,GUPPYDOS,PRIVADO,"CL. DOCTOR SUMSI, 38",46005,960704537,0,eiguppy95@gmail.com,L'Eixample,D'EDUCACIÓ INFANTIL
334,"39.49324499907383, -0.38642000000000043","{""coordinates"": [-0.38642, 39.49324499907383], ""type"": ""Point""}",EI 1er CICLE MUNICIPAL BENICALAP,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL BENICALAP,PÚBLICO,CL. GENERAL LLORENS-POETA DELMONTE I H,46025,960914117,0,eibenicalap@eulen.com,Benicalap,ESCOLA INFANTIL DE PRIMER CICLE
335,"39.47290799907394, -0.3543520000000002","{""coordinates"": [-0.354352, 39.47290799907394], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE MI PEQUEÑO MUNDO,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,MI PEQUEÑO MUNDO,PRIVADO,"CL. CARAVACA, 18",46021,653854995,0,info@mipequenomundo.org,Pla del Real,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
336,"39.47815899907391, -0.3470170000000015","{""coordinates"": [-0.347017, 39.47815899907391], ""type"": ""Point""}",CENTRE PRIVAT FP STUDIO,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,STUDIO,PRIVADO,"CL. ALBALAT DELS TARONGERS, 32",46021,963624193,963624193,info@grupostudio.es,Pla del Real,FORMACIÓ PROFESSIONAL ESPECÍFICA
337,"39.46867599907397, -0.34041500000000113","{""coordinates"": [-0.340415, 39.46867599907397], ""type"": ""Point""}",EI 1er CICLE MUNICIPAL ALGIRÓS,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL ALGIRÓS,PÚBLICO,"CL. LA CAÑADA, 2",46022,963309282,963309282,eialgiros@eulen.com,Camins al Grau,ESCOLA INFANTIL DE PRIMER CICLE
338,"39.47260099907397, -0.35997400000000074","{""coordinates"": [-0.359974, 39.47260099907397], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE BAMBY-ABADE 2,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,BAMBY-ABADE 2,PRIVADO,"CL. FINLANDIA, 4-6",46010,963698051,963698051,info@bambyabade.es,Pla del Real,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
339,"39.46120499907403, -0.34367500000000045","{""coordinates"": [-0.343675, 39.46120499907403], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE ETAPAS,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,ETAPAS,PRIVADO,"CL. DAMA DE ELCHE, 22",46023,963361470,0,escuelaetapas@gmail.com,Camins al Grau,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
340,"39.4823699990739, -0.3880940000000002","{""coordinates"": [-0.388094, 39.4823699990739], ""type"": ""Point""}",CENTRE PRIVAT FP CLAUDIO GALENO,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,CLAUDIO GALENO,PRIVADO,"CL. RICARDO MICÓ, 5",46009,962432073,0,informacion@fpclaudiogalenovalencia.es,Campanar,FORMACIÓ PROFESSIONAL ESPECÍFICA
341,"39.49617599907381, -0.36849300000000046","{""coordinates"": [-0.368493, 39.49617599907381], ""type"": ""Point""}",CENTRE ENSENYAMENTS ESPORTIUS MARNI,CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS,CENTRO DEPORTIVO MARNI,PRIVADO,"CL. PADRE VIÑAS, 94",46019,963650198,963650162,ana@colegios-sigloxxi.com,Rascanya,CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS
343,"39.486869999073875, -0.39778199999999964","{""coordinates"": [-0.397782, 39.486869999073875], ""type"": ""Point""}",CENTRE ENSENYAMENTS ESPORTIUS CENAFE,CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS,CENAFE,PRIVADO,"AV. DE LES CORTS VALENCIANES, 1",46015,912486617,0,valencia@cenafe.es,Benicalap,CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS
344,"39.468650999073986, -0.3974309999999993","{""coordinates"": [-0.397431, 39.468650999073986], ""type"": ""Point""}",CENTRE PRIVAT FP MEDITERRÁNEO CULINARY CENTER,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,MEDITERRÁNEO CULINARY CENTER,PRIVADO,"AV. CID, 58",46018,963190020,0,info@mediterraneoculinary.com,Patraix,FORMACIÓ PROFESSIONAL ESPECÍFICA
345,"39.48990899907385, -0.3568520000000009","{""coordinates"": [-0.356852, 39.48990899907385], ""type"": ""Point""}",CENTRE ENSENYAMENTS ESPORTIUS FASCV,CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS,FASCV,PRIVADO,"CL. POETA RICARDO SANMARTÍN, 3",46020,963154491,0,fascv@buceofederado.com,Benimaclet,CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS
346,"39.492915999073844, -0.3635569999999997","{""coordinates"": [-0.363557, 39.492915999073844], ""type"": ""Point""}",ESCOLA PRIVADA DE MÚSICA ACORDES,ESCOLA PRIVADA DE MÚSICA,ACORDES,PRIVADO,"CL. SANTA GENOVEVA TORRES, 26",46019,673472087,0,info@acordes-valencia.es,Rascanya,MÚSICA
347,"39.495660999073806, -0.39977500000000055","{""coordinates"": [-0.399775, 39.495660999073806], ""type"": ""Point""}",ESCOLA OFICIAL D'IDIOMES VALÈNCIA-BENICALAP,ESCOLA OFICIAL D'IDIOMES,VALÈNCIA-BENICALAP,PÚBLICO,"CL. DOCTOR NICASIO BENLLOCH, 130",46015,963189835,0,46036414@edu.gva.es,Benicalap,ESCOLA OFICIAL D'IDIOMES
348,"39.468162999074, -0.3849240000000003","{""coordinates"": [-0.384924, 39.468162999074], ""type"": ""Point""}",ESCOLA PRIVADA DE MÚSICA  ASOCIACIÓN MUSICAL LUÍS VIVES,ESCOLA PRIVADA DE MÚSICA,ASOCIACIÓN MUSICAL LUÍS VIVES,PRIVADO,"CL. CUENCA, 17",46007,667410941,0,amluisvives@gmail.com,Extramurs,MÚSICA
349,"39.492194999073824, -0.3811050000000004","{""coordinates"": [-0.381105, 39.492194999073824], ""type"": ""Point""}",ESCOLA PRIVADA DE MÚSICA GAYANO LLUCH,ESCOLA PRIVADA DE MÚSICA,GAYANO LLUCH,PRIVADO,"CL. GAYANO LLUCH, 19",46025,669489833,0,bandagayano@hotmail.com,Benicalap,MÚSICA
350,"39.45983499907403, -0.39122999999999913","{""coordinates"": [-0.39123, 39.45983499907403], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE FEBES 2,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,FEBES 2,PRIVADO,"CL. MANUEL SIMÓ, 24",46014,960656953,0,info@febes.es,Olivereta,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
351,"39.465221999074004, -0.34505299999999994","{""coordinates"": [-0.345053, 39.465221999074004], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE SENSATIDOS,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,SENSATIDOS,PRIVADO,"CL. BERENGUER MALLOL, 11",46022,653663936,0,sensatidos@gmail.com,Camins al Grau,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
355,"39.47401799907396, -0.3823219999999999","{""coordinates"": [-0.382322, 39.47401799907396], ""type"": ""Point""}",CENTRE PRIVAT ESCUELAS PÍAS,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",ESCUELAS PÍAS,CONCERTADO,"CL. CARNICEROS, 6",46001,963915800,963915876,colegio.sanjoaquin@escolapiosbetania.es,Ciutat Vella,D'EDUCACIÓ INFANTIL
356,"39.47543999907394, -0.3713410000000003","{""coordinates"": [-0.371341, 39.47543999907394], ""type"": ""Point""}",CENTRE PRIVAT ESCOLANÍA NTRA.SRA.DESAMPARADOS,CENTRE PRIVAT D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA,ESCOLANÍA NTRA.SRA.DESAMPARADOS,CONCERTADO,"CL. GOBERNADOR VIEJO, 23",46003,963918434,0,valencia@escolania.org,Ciutat Vella,D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA
357,"39.466579999074014, -0.3677200000000009","{""coordinates"": [-0.36772, 39.466579999074014], ""type"": ""Point""}",CENTRE PRIV. ED. INFANTIL LOS ÁNGELES,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,LOS ÁNGELES,CONCERTADO,"CL. JOAQUIN COSTA, 10",46005,963325044,963325044,ceilosangeles@hotmail.com,L'Eixample,D'EDUCACIÓ INFANTIL
358,"39.457824999074056, -0.3686539999999997","{""coordinates"": [-0.368654, 39.457824999074056], ""type"": ""Point""}",CENTRE PRIVAT SAN LUIS GONZAGA,CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA,SAN LUIS GONZAGA,CONCERTADO,"CL. ZAPADORES, 30",46006,963333269,963333269,tslgdireccion@gmail.com,L'Eixample,D'EDUCACIÓ INFANTIL I PRIMÀRIA
359,"39.45221099907406, -0.38713699999999956","{""coordinates"": [-0.387137, 39.45221099907406], ""type"": ""Point""}",CENTRE PRIVAT LUIS DE SANTÁNGEL,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",LUIS DE SANTÁNGEL,CONCERTADO,"CL. CARRICOLA, 7",46017,963776464,963776464,luisdesantangel@gmail.com,Jesus,D'EDUCACIÓ INFANTIL
360,"39.45369999907407, -0.38828700000000127","{""coordinates"": [-0.388287, 39.45369999907407], ""type"": ""Point""}",CENTRE PRIV. ED. INFANTIL CONCHA ESPINA I,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,CONCHA ESPINA I,CONCERTADO,"CL. CARTERS, 22-24",46017,963571411,963579042,secretaria@conchaespina.com,Jesus,D'EDUCACIÓ INFANTIL
